"lid","name","lat","lon","wfo","rfc","wrr","state","minor","moderate","major","date_produced","obj_or_subj","interval"
"WNAC2","South Platte River near Weldona","40.321000","103.922800","BOU","MBRFC","Missouri Region","CO","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WNAM5","Mississippi River at Winona","44.055600","91.637500","ARX","NCRFC","Upper Mississippi Region","MN","0.16","0.08","< 0.05","01/27/2023","obj","JFM"
"WNDN7","Cashie River near Windsor","36.048056","76.984167","AKQ","SERFC","South Atlantic-Gulf Region","NC","0.2033","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WNRO3","North Umpqua River near Winchester","43.272060","123.412299","MFR","NWRFC","Pacific Northwest Region","OR","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WNTP1","Lehigh River at Walnutport","40.756944","75.603333","PHI","MARFC","Mid Atlantic Region","PA","0.10","< 0.05","< 0.05","01/05/2023","obj","JFM"
"WOCT2","White Oak Creek near Talco","33.322222","95.092500","SHV","LMRFC","Arkansas-White-Red Region","TX","0.90","< 0.05","< 0.05","01/24/2023","obj","JFM"
"WODK1","S F Solomon River at Woodston","39.439722","99.101389","GID","MBRFC","Missouri Region","KS","0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WODR1","Pawcatuck above Wood River Junction","41.445100","71.680898","BOX","NERFC","New England Region","RI","0.15","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WODW4","Laramie River near Woods Landing","41.138005","105.980769","CYS","MBRFC","Missouri Region","WY","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WOOC1","West Fork Carson River at Woodfords","38.769628","119.833789","REV","CNRFC","Great Basin Region","CA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WOON3","Pemigewasset River at Woodstock","43.976111","71.680000","GYX","NERFC","New England Region","NH","0.11","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WOOR1","Blackstone River at Woonsocket","42.006389","71.503056","BOX","NERFC","New England Region","RI","0.13","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WOOU1","Provo River near Woodland","40.557728","111.168784","SLC","CBRFC","Great Basin Region","UT","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"WORF1","Santa Fe River at Worthington Springs (in NAVD88)","29.921667","82.426389","JAX","SERFC","South Atlantic-Gulf Region","FL","0.762","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WPCW3","Waupaca River near Waupaca","44.329237","88.996354","GRB","NCRFC","Great Lakes Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WPHM7","Maries River at Westphalia","38.431944","91.988611","LSX","MBRFC","Missouri Region","MO","0.35","0.08","<0.05","1/24/2023","obj","JFM"
"WPNN1","Elkhorn River at West Point","41.839589","96.727536","OAX","MBRFC","Missouri Region","NE","0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WPTM8","Missouri River near Wolf Point","48.067222","105.533056","GGW","MBRFC","Missouri Region","MT","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WRAW1","White River at R St. Auburn","47.274823","122.207897","SEW","NWRFC","Pacific Northwest Region","WA","0.22","0.14","0.11","01/27/2023","obj","JFM"
"WRCW4","Wind River above Red Creek","43.441660","109.458790","RIW","MBRFC","Missouri Region","WY","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WRGF1","Cypress Creek (FL) at SR 54 Worthington Gardens","28.185556","82.400833","TBW","SERFC","South Atlantic-Gulf Region","FL","0.3245","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WRMC2","White River (CO-UT) near Meeker","40.033585","107.862220","GJT","CBRFC","Upper Colorado Region","CO","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"WRNI2","West Branch Du Page River near Warrenville","41.817500","88.171389","LOT","NCRFC","Upper Mississippi Region","IL","0.08","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WSFM3","Westfield River at Westfield","42.106760","72.698981","BOX","NERFC","New England Region","MA","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WSHK1","Mill Creek (WSHK1) at Washington","39.813611","97.037222","TOP","MBRFC","Missouri Region","KS","0.1","0.06","<0.05","1/24/2023","obj","JFM"
"WSHM1","Aroostook River at Washburn","46.777220","68.157220","CAR","NERFC","New England Region","ME","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WSPF1","Suwannee River at White Springs (in NAVD88)","30.325556","82.738333","JAX","SERFC","South Atlantic-Gulf Region","FL","0.1104","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WSRI1","Weiser River at Weiser","44.270000","116.772222","BOI","NWRFC","Pacific Northwest Region","ID","0.09","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WSRN6","Susquehanna River at Windsor","42.074722","75.638056","BGM","MARFC","Mid Atlantic Region","NY","0.12","< 0.05","< 0.05","01/05/2023","obj","JFM"
"WSTM6","Big Black River at West","33.194400","89.771100","JAN","LMRFC","Lower Mississippi Region","MS","> 0.95","0.66","< 0.05","01/24/2023","obj","JFM"
"WSTN8","Souris River near Westhope","48.996389","100.958056","BIS","NCRFC","Souris-Red-Rainy Region","ND","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WSTR1","Pawcatuck at Westerly","41.383711","71.833611","BOX","NERFC","New England Region","RI","0.46","0.05","< 0.05","01/23/2023","obj","JFM"
"WSVC2","Arkansas River near Wellsville","38.502775","105.939733","PUB","ABRFC","Arkansas-White-Red Region","CO","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"WTFN6","Hudson River near Waterford","42.829167","73.666667","ALY","NERFC","Mid Atlantic Region","NY","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WTFN8","Little Missouri River near Watford City","47.590278","103.251389","BIS","MBRFC","Missouri Region","ND","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WTGM6","Tuscolameta Creek at Walnut Grove","32.588300","89.465000","JAN","LMRFC","South Atlantic-Gulf Region","MS","0.77","< 0.05","< 0.05","01/24/2023","obj","JFM"
"WTPG1","Chattahoochee River at West Point","32.886111","85.182222","FFC","SERFC","South Atlantic-Gulf Region","GA","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WTRN1","Elkhorn River at Waterloo","41.293292","96.283938","OAX","MBRFC","Missouri Region","NE","0.07","<0.05","<0.05","1/24/2023","obj","JFM"
"WTRS2","Big Sioux River near Watertown","45.006111","97.164722","ABR","MBRFC","Missouri Region","SD","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WTRU1","Whiterocks River near Whiterocks","40.593565","109.932374","GJT","CBRFC","Upper Colorado Region","UT","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"WTTO2","Illinois River (AR OK) near Watts","36.130000","94.571944","TSA","ABRFC","Arkansas-White-Red Region","OK","0.4355","0.266","< 0.05","01/26/2023","obj","JFM"
"WVYM7","Missouri River near Waverly","39.215000","93.515000","EAX","MBRFC","Missouri Region","MO","0.29","<0.05","<0.05","1/24/2023","obj","JFM"
"WVYN6","Susquehanna River near Waverly","41.984722","76.501389","BGM","MARFC","Mid Atlantic Region","NY","0.41","0.13","< 0.05","01/05/2023","obj","JFM"
"WWBC1","West Walker River near Coleville","38.379722","119.449167","REV","CNRFC","Great Basin Region","CA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WYLM7","Fox River (IA/MO) at Wayland","40.392417","91.597889","DVN","NCRFC","Upper Mississippi Region","MO","0.11","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WYNM6","Chickasawhay River near Waynesboro","31.682480","88.683500","MOB","LMRFC","South Atlantic-Gulf Region","MS","0.18","< 0.05","< 0.05","01/24/2023","obj","JFM"
"YADN7","Yadkin River at Yadkin College","35.856670","80.386940","RAH","SERFC","South Atlantic-Gulf Region","NC","0.1481","< 0.05","< 0.05","12/14/2022","obj","DJF"
"YASC2","Yampa River above Stagecoach Resv.","40.264261","106.891767","GJT","CBRFC","Upper Colorado Region","CO","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"YDAQ9","Yukon River at Dawson","64.070277","139.425833","PAFG4","APRFC","Alaska Region","AK","< 0.05","< 0.05","-999.0","03/01/2020","obj","MAM"
"YDLC2","Yampa River near Deerlodge Park","40.451634","108.525101","GJT","CBRFC","Upper Colorado Region","CO","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"YDRC1","Santa Margarita River at Ysidora","33.311144","117.347260","SGX","CNRFC","California Region","CA","0.15","0.06","< 0.05","01/27/2023","obj","JFM"
"YLKA2","Yentna River at Lake Creek","61.922347","150.982355","PAFC","APRFC","Alaska Region","AK","0.0794","< 0.05","< 0.05","07/01/2022","obj","JAS"
"YLLU1","Yellowstone River Utah near Altonah","40.511893","110.341591","SLC","CBRFC","Upper Colorado Region","UT","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"YLOW4","Yellowstone River at Fishing Bridge","44.567580","110.381000","RIW","MBRFC","Missouri Region","WY","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"YNNS2","James River near Yankton","42.995833","97.369444","FSD","MBRFC","Missouri Region","SD","0.17","0.15","0.14","1/24/2023","obj","JFM"
"YTCC3","Yantic River at Yantic","41.558611","72.121944","OKX","NERFC","New England Region","CT","0.06","0.05","< 0.05","01/23/2023","obj","JFM"
"YUKO2","North Canadian River near Yukon","35.539499","97.742544","OUN","ABRFC","Arkansas-White-Red Region","OK","0.0632","< 0.05","< 0.05","01/26/2023","obj","JFM"
"YWGM6","Yalobusha River at Whaley","33.631400","90.109100","JAN","LMRFC","Lower Mississippi Region","MS","0.69","0.25","0.05","01/24/2023","obj","JFM"
"YWRQ9","Yukon River above White River","63.083889","139.494444","PAFG4","APRFC","Alaska Region","AK","< 0.05","< 0.05","-999.0","03/01/2020","obj","MAM"
"YZOM6","Yazoo River at Yazoo City","32.857900","90.436800","JAN","LMRFC","Lower Mississippi Region","MS","0.76","0.15","< 0.05","01/24/2023","obj","JFM"
"ZAPN8","Spring Creek (ND) at Zap","47.286111","101.925278","BIS","MBRFC","Missouri Region","ND","0.12","0.1","0.08","1/24/2023","obj","JFM"
"ZENK1","Rattlesnake Creek (KS) near Zenith","38.093600","98.546100","DDC","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
