id,lid,name,lat,lon,wfo,rfc,wrr,state,minor_CS_3month,moderate_CS_3month,major_CS_3month,code,date_produced,obj_or_subj_3month,interval_3month
OLMI2,OLMI2,Ohio River at Olmsted Lock and Dam Headwater,37.17916700,-89.05833300,PAH,LMRFC,Ohio Region,IL,0.61,0.35,0.18,2,2/7/2023,obj,FMA
OLVL1,OLVL1,Comite River near Olive Branch,30.75638900,-91.04388900,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
OLVM6,OLVM6,Coldwater River at Olive Branch,34.90750000,-89.75333300,MEG,LMRFC,Lower Mississippi Region,MS,0.05,0.05,0.05,1,2/7/2023,obj,FMA
ORAM6,ORAM6,Escatawpa River above Orange Grove,30.45861100,-88.45194400,LIX,LMRFC,South Atlantic-Gulf Region,MS,0.05,0.05,0.05,1,2/7/2023,obj,FMA
OSGA4,OSGA4,Mississippi River at Osceola,35.66055600,-89.93305600,MEG,LMRFC,Lower Mississippi Region,AR,0.21,0.05,0.05,1,2/7/2023,obj,FMA
OSYM6,OSYM6,Tangipahoa River at Osyka,31.01222200,-90.46111100,LIX,LMRFC,South Atlantic-Gulf Region,MS,0.38,0.05,0.05,1,2/7/2023,obj,FMA
OXDM6,OXDM6,Yocona River near Oxford,34.27277800,-89.52138900,MEG,LMRFC,Lower Mississippi Region,MS,0.12,0.05,0.05,1,2/7/2023,obj,FMA
PAHK2,PAHK2,Ohio River at Paducah,37.08944400,-88.59444400,PAH,LMRFC,Ohio Region,KY,0.37,0.22,0.05,1,2/7/2023,obj,FMA
PAZM7,PAZM7,St. Francis River at Patterson,37.19444400,-90.50333300,PAH,LMRFC,Lower Mississippi Region,MO,0.41,0.11,0.05,1,2/7/2023,obj,FMA
PERL1,PERL1,Pearl River near Pearl River,30.38500000,-89.73666700,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.95,0.65,0.25,3,2/7/2023,obj,FMA
PFAA4,PFAA4,Arkansas River at Pendleton,33.97861100,-91.38444400,LZK,LMRFC,Lower Mississippi Region,AR,0.14,0.07,0.05,1,2/7/2023,obj,FMA
PGFM6,PGFM6,Pascagoula River at Graham Ferry,30.61055600,-88.64138900,LIX,LMRFC,South Atlantic-Gulf Region,MS,0.64,0.15,0.05,2,2/7/2023,obj,FMA
PLAM6,PLAM6,Pearl River near Philadelphia/at Burnside,32.84140000,-89.09780000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.34,0.05,2,2/7/2023,obj,FMA
PLGA4,PLGA4,L'Anguille River at Palestine,34.97277800,-90.88472200,MEG,LMRFC,Lower Mississippi Region,AR,0.23,0.05,0.05,1,2/7/2023,obj,FMA
PLKT1,PLKT1,Richland Creek near Pulaski,35.19500000,-87.06388900,OHX,LMRFC,Tennessee Region,TN,0.12,0.05,0.05,1,2/7/2023,obj,FMA
POCA4,POCA4,Black River at Pocahontas,36.25416700,-90.97027800,LZK,LMRFC,Arkansas-White-Red Region,AR,0.92,0.28,0.05,2,2/7/2023,obj,FMA
