lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
WHGM7,Missouri River at Washington,38.55000000,-91.00000000,LSX,MBRFC,Missouri Region,MO,0.50,0.17,0.10,1,2/21/2023,obj,FMA
WHIS2,Moreau River (SD) near Whitehorse,45.25580000,-100.84250000,ABR,MBRFC,Missouri Region,SD,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WHRS2,White River (NE-SD) near White River,43.71388889,-100.68472222,UNR,MBRFC,Missouri Region,SD,0.29,0.18,0.09,1,2/21/2023,obj,FMA
WKAS2,Vermillion River near Wakonda,42.99083333,-96.96361111,FSD,MBRFC,Missouri Region,SD,0.88,0.74,0.56,4,2/21/2023,obj,FMA
WLBN1,Turkey Creek near Wilber,40.48027778,-97.01250000,OAX,MBRFC,Missouri Region,NE,0.09,0.05,0.05,1,2/21/2023,obj,FMA
WLON1,Elkhorn River near Winslow,41.61083333,-96.46833333,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WLTN8,Missouri River near Williston,48.10805556,-103.71416667,BIS,MBRFC,Missouri Region,ND,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WMGK1,Kansas River at Wamego,39.22444444,-96.32555556,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WNAC2,South Platte River near Weldona,40.32111111,-103.92277778,BOU,MBRFC,Missouri Region,CO,0.06,0.05,0.05,1,2/21/2023,obj,FMA
WODK1,S F Solomon River at Woodston,39.43972222,-99.10138889,GID,MBRFC,Missouri Region,KS,0.11,0.10,0.05,1,2/21/2023,obj,FMA
WODW4,Laramie River near Woods Landing,41.13805556,-105.98027778,CYS,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WPHM7,Maries River at Westphalia,38.43194444,-91.98972222,LSX,MBRFC,Missouri Region,MO,0.36,0.20,0.05,1,2/21/2023,obj,FMA
WPNN1,Elkhorn River at West Point,41.83944444,-96.72722222,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WPTM8,Missouri River near Wolf Point,48.06722222,-105.53305556,GGW,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WRCW4,Wind River above Red Creek,43.44166667,-109.45805556,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WSHK1,Mill Creek (WSHK1) at Washington,39.82111111,-97.04472222,TOP,MBRFC,Missouri Region,KS,0.15,0.14,0.05,1,2/21/2023,obj,FMA
WTFN8,Little Missouri River near Watford City,47.59027778,-103.26250000,BIS,MBRFC,Missouri Region,ND,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WTRN1,Elkhorn River at Waterloo,41.29361111,-96.28333333,OAX,MBRFC,Missouri Region,NE,0.06,0.05,0.05,1,2/21/2023,obj,FMA
WTRS2,Big Sioux River near Watertown,45.00611111,-97.16472222,ABR,MBRFC,Missouri Region,SD,0.40,0.09,0.05,1,2/21/2023,obj,FMA
WVYM7,Missouri River near Waverly,39.21444444,-93.51500000,EAX,MBRFC,Missouri Region,MO,0.60,0.11,0.08,2,2/21/2023,obj,FMA
YLOW4,Yellowstone River at Fishing Bridge,44.56750000,-110.38000000,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
YNNS2,James River near Yankton,42.99583333,-97.36944444,FSD,MBRFC,Missouri Region,SD,0.30,0.26,0.22,1,2/21/2023,obj,FMA
ZAPN8,Spring Creek (ND) at Zap,47.28777778,-102.00055556,BIS,MBRFC,Missouri Region,ND,0.10,0.06,0.05,1,2/21/2023,obj,FMA
