lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
NEOK1,Neosho River at Neosho Rapids,38.36805600,-96.00000000,TOP,ABRFC,Arkansas-White-Red Region,KS,0.28,0.27,0.05,1,2/20/2023,obj,FMA
NKHO2,Little Washita River near Ninnekah,34.96340100,-97.89948600,OUN,ABRFC,Arkansas-White-Red Region,OK,0.10,0.10,0.09,1,2/20/2023,obj,FMA
NPTC2,Arkansas River near Nepesta,38.18417000,-104.17329700,PUB,ABRFC,Arkansas-White-Red Region,CO,0.11,0.06,0.05,1,2/20/2023,obj,FMA
NRCO2,Canadian River at Norman,35.19444400,-97.48472200,OUN,ABRFC,Arkansas-White-Red Region,OK,0.13,0.05,0.05,1,2/20/2023,obj,FMA
OKBO2,North Canadian River at Britton Road at Oklahoma City,35.56555600,-97.36694400,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
OLBO2,North Canadian River at NW10th Street at Oklahoma City,35.47866800,-97.66337500,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
OSWK1,Neosho River at Oswego,37.17666000,-95.10500000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.51,0.45,0.09,2,2/20/2023,obj,FMA
OWSO2,Bird Creek near Owasso,36.24833300,-95.86694400,TSA,ABRFC,Arkansas-White-Red Region,OK,0.32,0.20,0.14,1,2/20/2023,obj,FMA
OXFK1,Arkansas River at Oxford,37.27448600,-97.16291400,ICT,ABRFC,Arkansas-White-Red Region,KS,0.15,0.05,0.05,1,2/20/2023,obj,FMA
OZGA4,Arkansas River at Ozark L/D Tailwater,35.47250000,-93.81277800,TSA,ABRFC,Arkansas-White-Red Region,AR,0.32,0.15,0.13,1,2/20/2023,obj,FMA
PANO2,Poteau River near Panama,35.16555600,-94.65277800,TSA,ABRFC,Arkansas-White-Red Region,OK,0.68,0.59,0.08,3,2/20/2023,obj,FMA
PAWO2,Black Bear Creek at Pawnee,36.34361100,-96.79916700,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PBFA4,Arkansas River at Pine Bluff,34.28861100,-91.99472200,LZK,ABRFC,Arkansas-White-Red Region,AR,0.27,0.11,0.05,1,2/20/2023,obj,FMA
PDAC2,Arkansas River above Pueblo,38.27166900,-104.71803300,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PDLC2,Arkansas River at Parkdale,38.48721900,-105.37360400,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PECK1,Ninnescah River near Peck,37.45690000,-97.42360000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.11,0.05,0.05,1,2/20/2023,obj,FMA
PGMC2,Purgatoire River at Madrid,37.12946500,-104.63998900,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PGRC2,Purgatoire River below Trinidad Lake,37.14390800,-104.54776400,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PLVO2,Washita River near Pauls Valley,34.75480200,-97.25141200,OUN,ABRFC,Arkansas-White-Red Region,OK,0.07,0.05,0.05,1,2/20/2023,obj,FMA
PLYK1,Cottonwood River near Plymouth,38.39780000,-96.35660000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.10,0.05,0.05,1,2/20/2023,obj,FMA
PNNC2,Fountain Creek near Pinon,38.42944400,-104.59805600,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PPFK1,Neosho River near Parsons,37.34006000,-95.10997000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.52,0.46,0.05,2,2/20/2023,obj,FMA
PRCO2,Canadian River at Purcell,35.01396100,-97.34752800,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PRTC2,Arkansas River at Portland,38.38833400,-105.01609600,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PTAO2,Poteau River near Poteau,35.05972200,-94.60277800,TSA,ABRFC,Arkansas-White-Red Region,OK,0.33,0.25,0.08,1,2/20/2023,obj,FMA
PTRC2,Purgatoire River at Trinidad,37.17085200,-104.50915200,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
PTTK1,South Fork Ninnescah River at Pratt,37.63777000,-98.72111000,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
QUAO2,Spring River near Quapaw,36.93444400,-94.74611100,TSA,ABRFC,Arkansas-White-Red Region,OK,0.37,0.22,0.08,1,2/20/2023,obj,FMA
RAMO2,Caney River near Ramona,36.50888900,-95.84166700,TSA,ABRFC,Arkansas-White-Red Region,OK,0.22,0.16,0.05,1,2/20/2023,obj,FMA
RCNK1,Walnut Creek (KS) at Nekoma,38.47722200,-99.43777800,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
RIPO2,Cimarron River near Ripley,35.98589300,-96.91225000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.25,0.11,0.08,1,2/20/2023,obj,FMA
RLSO2,Arkansas River at Ralston,36.50416700,-96.72805600,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
RNDO2,Deep Red Creek near Randlett,34.22092500,-98.45311000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.61,0.35,0.09,2,2/20/2023,obj,FMA
SALC2,Arkansas River at Salida,38.54583000,-106.01056900,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SANK1,Pawnee River near Sanford,38.18944400,-99.33111100,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SASO2,Little River (OK) near Sasakwa,34.96536200,-96.51251100,OUN,ABRFC,Arkansas-White-Red Region,OK,0.11,0.10,0.06,1,2/20/2023,obj,FMA
SCVC2,St Charles River at Vineland,38.24555800,-104.48636000,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SEDK1,Little Arkansas River near Sedgwick,37.88305000,-97.42416000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.06,0.05,0.05,1,2/20/2023,obj,FMA
SEIO2,North Canadian River near Seiling,36.18337300,-98.92120600,OUN,ABRFC,Arkansas-White-Red Region,OK,0.08,0.05,0.05,1,2/20/2023,obj,FMA
SHAT2,North Fork of the Red River at Shamrock,35.26416700,-100.24138900,AMA,ABRFC,Arkansas-White-Red Region,TX,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SNCN5,Canadian River near Sanchez,35.65472200,-104.37861100,ABQ,ABRFC,Arkansas-White-Red Region,NM,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SPCO2,Polecat Creek near Sapulpa,35.98833300,-96.08194400,TSA,ABRFC,Arkansas-White-Red Region,OK,0.35,0.24,0.05,1,2/20/2023,obj,FMA
SPEO2,Bird Creek near Sperry,36.27833300,-95.95388900,TSA,ABRFC,Arkansas-White-Red Region,OK,0.38,0.29,0.09,1,2/20/2023,obj,FMA
SPGN5,Cimarron River (NM) at Springer,36.36027800,-104.59805600,ABQ,ABRFC,Arkansas-White-Red Region,NM,0.05,0.05,0.05,1,2/20/2023,obj,FMA
