lid,lat,lon,rfc,minor,moderate,major,code,date_produced,name,wfo,wrr,state,obj_or_subj,interval
STSP1,40.240278,-79.806667,OHRFC,0.05,0.05,0.05,1,1/27/2023,Youghiogheny River at Sutersville,PBZ,Great Lakes Region,PA,obj,JFM
SWDP1,40.419167,-79.026389,OHRFC,0.07,0.05,0.05,1,1/27/2023,Conemaugh River at Seward,PBZ,Upper Mississippi Region,PA,obj,JFM
TAYO1,39.874502,-84.161885,OHRFC,0.11,0.05,0.05,1,1/27/2023,Great Miami River near Taylorsville,ILN,Great Lakes Region,OH,obj,JFM
TFFO1,41.114167,-83.179722,OHRFC,0.1,0.05,0.05,1,1/27/2023,Sandusky River at Tiffin,CLE,Upper Mississippi Region,OH,obj,JFM
TORW2,38.338983,-81.841518,OHRFC,0.28,0.21,0.13,1,1/27/2023,Coal River (WV) at Tornado,RLX,Upper Mississippi Region,WV,obj,JFM
TRYO1,40.040278,-84.197778,OHRFC,0.12,0.05,0.05,1,1/27/2023,Great Miami River at Troy,ILN,Upper Mississippi Region,OH,obj,JFM
UPPO1,40.850612,-83.25631,OHRFC,0.05,0.05,0.05,1,1/27/2023,Sandusky River near Upper Sandusky,CLE,Great Lakes Region,OH,obj,JFM
URVO1,40.390833,-81.347222,OHRFC,0.41,0.08,0.05,1,1/27/2023,Stillwater Creek at Uhrichsville,PBZ,Upper Mississippi Region,OH,obj,JFM
VERO1,41.38199,-82.31683,OHRFC,0.05,0.05,0.05,1,1/27/2023,Vermilion River near Mill Hollow MP,CLE,Upper Mississippi Region,OH,obj,JFM
VGFP1,40.604444,-79.552222,OHRFC,0.05,0.05,0.05,1,1/27/2023,Kiskiminetas River at Vandergrift,PBZ,Souris-Red-Rainy Region,PA,obj,JFM
VRNI3,38.9764,-85.6197,OHRFC,0.15,0.05,0.05,1,1/27/2023,Vernon Fork Muscatatuck River near Vernon,IND,Upper Mississippi Region,IN,obj,JFM
WABI3,40.7908,-85.8203,OHRFC,0.08,0.05,0.05,1,1/27/2023,Wabash River at Wabash,IWX,Upper Mississippi Region,IN,obj,JFM
WBNT1,36.117778,-86.718889,OHRFC,0.19,0.05,0.05,1,1/27/2023,Mill Creek at Woodbine,OHX,Upper Mississippi Region,TN,obj,JFM
WBYO1,41.630833,-81.403333,OHRFC,0.05,0.05,0.05,1,1/27/2023,Chagrin River at Willoughby,CLE,Upper Mississippi Region,OH,obj,JFM
WDVO1,41.449496,-83.36132,OHRFC,0.11,0.05,0.05,1,1/27/2023,Portage River at Woodville,CLE,Great Lakes Region,OH,obj,JFM
WELW2,40.275,-80.613611,OHRFC,0.05,0.05,0.05,1,1/27/2023,Ohio River at Wellsburg,PBZ,Upper Mississippi Region,WV,obj,JFM
WHKP1,41.570833,-79.408056,OHRFC,0.05,0.05,0.05,1,1/27/2023,Allegheny River at West Hickory,PBZ,Upper Mississippi Region,PA,obj,JFM
WHLW2,40.149722,-80.701667,OHRFC,0.05,0.05,0.05,1,1/27/2023,Ohio River at Pike Island Lock and Dam,PBZ,Upper Mississippi Region,WV,obj,JFM
WILW2,37.673056,-82.280278,OHRFC,0.06,0.05,0.05,1,1/27/2023,Tug Fork River at Williamson,RLX,Souris-Red-Rainy Region,WV,obj,JFM
WLGW2,40.057222,-80.728611,OHRFC,0.05,0.05,0.05,1,1/27/2023,Ohio River at Wheeling,PBZ,Upper Mississippi Region,WV,obj,JFM
WLLI3,38.802222,-86.645556,OHRFC,0.48,0.06,0.05,1,1/27/2023,East Fork White River at Williams,IND,Upper Mississippi Region,IN,obj,JFM
WLVO1,40.614167,-80.641111,OHRFC,0.05,0.05,0.05,1,1/27/2023,Ohio River at Wellsville,PBZ,Great Lakes Region,OH,obj,JFM
WMCI3,41.049722,-86.599167,OHRFC,0.07,0.05,0.05,1,1/27/2023,Tippecanoe River at Winamac,IWX,Great Lakes Region,IN,obj,JFM
WRNI3,40.7125,-85.4536,OHRFC,0.06,0.05,0.05,1,1/27/2023,Salamonie River near Warren,IWX,Upper Mississippi Region,IN,obj,JFM
WRNO1,41.233889,-80.823333,OHRFC,0.08,0.05,0.05,1,1/27/2023,Mahoning River at Warren,CLE,Great Lakes Region,OH,obj,JFM
WRRP1,41.843889,-79.15,OHRFC,0.05,0.05,0.05,1,1/27/2023,Allegheny River at Warren,CTP,Great Lakes Region,PA,obj,JFM
WRTO1,40.110278,-83.031944,OHRFC,0.05,0.05,0.05,1,1/27/2023,Olentangy River near Worthington,ILN,Upper Mississippi Region,OH,obj,JFM
WTVO1,41.500053,-83.71271,OHRFC,0.1,0.05,0.05,1,1/27/2023,Maumee River at Waterville,CLE,Upper Mississippi Region,OH,obj,JFM
WYNI2,38.363333,-88.587778,OHRFC,0.34,0.26,0.15,1,1/27/2023,Skillet Fork River at Wayne City,PAH,Upper Mississippi Region,IL,obj,JFM
YGWO1,41.105058,-80.66258,OHRFC,0.06,0.05,0.05,1,1/27/2023,Mahoning River at Youngstown,CLE,Upper Mississippi Region,OH,obj,JFM
ZANO1,39.938889,-82.0125,OHRFC,0.05,0.05,0.05,1,1/27/2023,Muskingum River at Zanesville,PBZ,Upper Mississippi Region,OH,obj,JFM
ZONI3,39.946389,-86.260278,OHRFC,0.2,0.08,0.05,1,1/27/2023,Eagle Creek (IN) at Zionsville,IND,Upper Mississippi Region,IN,obj,JFM
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
